,p1_name,p1_games_won,p1_aces,p1_double_faults,p1_first_serves_in,p1_first_serve_points_won,p1_second_serve_points_won,p2_name,p2_games_won,p2_aces,p2_double_faults,p2_first_serves_in,p2_first_serve_points_won,p2_second_serve_points_won,p1_sets_won,p2_sets_won,p1_ranking_points,p2_ranking_points,y
2058,Vasek Pospisil,6,4,0.02,0.702,0.7435,0.548,Felix Auger Aliassime,6,5,0.0905,0.5680000000000001,0.6955,0.372,1,1,560,3895,1
2060,Vasek Pospisil,6,13,0.036,0.4446666666666667,0.4791666666666667,0.3256666666666667,Felix Auger Aliassime,6,9,0.04716666666666666,0.403,0.4718333333333333,0.3143333333333333,1,2,560,3895,1
2062,Yannick Hanfmann,6,4,0.0,0.7,0.762,0.556,Rinky Hijikata,4,2,0.054,0.486,0.722,0.526,1,0,435,344,1
2064,Yannick Hanfmann,6,8,0.0,0.665,0.7045,0.678,Rinky Hijikata,4,5,0.027,0.595,0.624,0.5755,2,0,435,344,1
2066,Yannick Hanfmann,3,12,0.0,0.46399999999999997,0.4848333333333333,0.2816666666666667,Rinky Hijikata,6,7,0.009,0.4263333333333333,0.4643333333333333,0.3308333333333333,2,1,435,344,1
2068,Yannick Hanfmann,6,17,0.00525,0.2565,0.2972083333333333,0.21316666666666667,Rinky Hijikata,6,11,0.0185,0.26958333333333334,0.3328333333333333,0.17645833333333333,2,2,435,344,1
2070,Yosuke Watanuki,6,3,0.048,0.571,0.917,0.556,Arthur Rinderknech,3,1,0.038,0.615,0.625,0.4,1,0,413,807,0
2072,Yosuke Watanuki,6,8,0.043,0.593,0.896,0.5780000000000001,Arthur Rinderknech,3,4,0.019,0.593,0.646,0.589,2,0,413,807,0
2074,Alejandro Davidovich Fokina,6,1,0.0,0.579,0.636,0.875,Alexander Bublik,0,1,0.2,0.5,0.4,0.1,1,0,1325,1130,0
2146,Alejandro Davidovich Fokina,6,5,0.0,0.661,0.722,0.7155,Alexander Bublik,6,7,0.1125,0.5375,0.5695,0.40299999999999997,1,1,1325,1130,0
2218,Alejandro Davidovich Fokina,3,5,0.0,0.4426666666666667,0.449,0.3635,Alexander Bublik,6,11,0.0835,0.3055,0.4928333333333333,0.3196666666666667,1,2,1325,1130,0
2290,Alejandro Davidovich Fokina,6,7,0.0155,0.2981666666666667,0.29975,0.21587499999999998,Alexander Bublik,4,13,0.041625,0.222125,0.3554583333333333,0.15491666666666667,2,2,1325,1130,0
2362,Andrey Rublev,6,2,0.0,0.69,0.85,0.444,Dominic Thiem,3,3,0.0,0.583,0.714,0.5,1,0,3930,561,0
2434,Andrey Rublev,6,5,0.0285,0.645,0.8300000000000001,0.472,Dominic Thiem,4,3,0.0,0.583,0.6425,0.55,2,0,3930,561,0
2506,Ben Shelton,4,5,0.032,0.613,0.737,0.5,Zhizhen Zhang,6,5,0.0,0.76,0.895,0.5,0,1,604,567,0
2578,Ben Shelton,6,10,0.0825,0.6065,0.813,0.5415,Zhizhen Zhang,3,6,0.0345,0.673,0.8005,0.4585,1,1,604,567,0
2650,Ben Shelton,6,14,0.0275,0.41783333333333333,0.574,0.5138333333333334,Zhizhen Zhang,2,8,0.011500000000000002,0.4146666666666667,0.49616666666666664,0.23616666666666666,2,1,604,567,0
2722,Ben Shelton,2,14,0.017625,0.21320833333333333,0.3185,0.22470833333333334,Zhizhen Zhang,6,9,0.0028750000000000004,0.2599166666666667,0.34079166666666666,0.19804166666666667,2,2,604,567,0
2794,Chun Hsin Tseng,6,1,0.051,0.59,0.739,0.5,Alexei Popyrin,4,4,0.04,0.76,0.789,0.5,1,0,490,506,1
2866,Chun Hsin Tseng,6,1,0.047,0.6535,0.7635000000000001,0.4425,Alexei Popyrin,6,8,0.02,0.7170000000000001,0.8085,0.5,1,1,490,506,1
2938,Chun Hsin Tseng,6,1,0.021333333333333333,0.41883333333333334,0.5021666666666667,0.2925,Alexei Popyrin,6,14,0.013999999999999999,0.43900000000000006,0.5288333333333334,0.3333333333333333,2,1,490,506,1
