,p1_name,p1_games_won,p1_aces,p1_double_faults,p1_first_serves_in,p1_first_serve_points_won,p1_second_serve_points_won,p2_name,p2_games_won,p2_aces,p2_double_faults,p2_first_serves_in,p2_first_serve_points_won,p2_second_serve_points_won,p1_sets_won,p2_sets_won,p1_ranking_points,p2_ranking_points,y
8676,Tallon Griekspoor,6,4,0.056,0.583,0.857,0.733,Quentin Halys,6,8,0.028,0.528,0.895,0.588,1,0,969,785,0
8748,Tallon Griekspoor,4,6,0.0605,0.582,0.8175,0.5975,Quentin Halys,6,16,0.014,0.5305,0.8535,0.6154999999999999,1,1,969,785,0
8820,Alexander Bublik,5,6,0.091,0.606,0.75,0.308,Filip Krajinovic,7,1,0.0,0.594,0.684,0.692,0,1,865,775,0
8822,Alexander Bublik,6,11,0.0455,0.623,0.8125,0.48750000000000004,Filip Krajinovic,3,4,0.0,0.6305000000000001,0.7030000000000001,0.5125,1,1,865,775,0
8824,Benjamin Bonzi,7,4,0.062,0.688,0.773,0.3,Luca Van Assche,5,2,0.0,0.562,0.556,0.429,1,0,794,397,0
8826,Zizou Bergs,4,2,0.0,0.654,0.765,0.556,Stan Wawrinka,6,2,0.0,0.64,0.812,0.889,0,1,427,512,1
8828,Zizou Bergs,6,5,0.0,0.6415,0.8145,0.7010000000000001,Stan Wawrinka,6,6,0.0205,0.6565000000000001,0.785,0.6635,1,1,427,512,1
8830,Alexander Ritschard,7,3,0.033,0.667,0.9,0.4,Pablo Andujar,5,1,0.054,0.757,0.607,0.556,1,0,317,267,0
8902,Arthur Rinderknech,3,4,0.067,0.467,0.643,0.5,Leandro Riedi,6,7,0.059,0.529,0.722,0.625,0,1,702,426,1
8974,Elias Ymer,6,1,0.033,0.667,0.8,0.3,Gijs Brouwer,3,1,0.0,0.714,0.533,0.5,1,0,340,453,1
9046,Elias Ymer,5,4,0.038,0.6315,0.7035,0.41300000000000003,Gijs Brouwer,7,3,0.0145,0.6425,0.6165,0.55,1,1,340,453,1
9118,Lukas Klein,2,4,0.0,0.647,0.545,0.5,David Goffin,6,2,0.0,0.682,0.8,0.714,0,1,405,965,1
9190,Maxime Cressy,6,9,0.071,0.714,0.8,0.625,Geoffrey Blancaneaux,3,2,0.0,0.565,0.538,0.7,1,0,1016,385,0
9262,Maxime Cressy,6,16,0.157,0.6275,0.825,0.548,Geoffrey Blancaneaux,6,5,0.02,0.6125,0.6325000000000001,0.6145,1,1,1016,385,0
9334,Richard Gasquet,6,2,0.0,0.511,0.783,0.682,Laurent Lokoli,6,3,0.019,0.596,0.774,0.524,1,0,935,339,0
9406,Richard Gasquet,2,4,0.0435,0.5165,0.6415,0.47750000000000004,Laurent Lokoli,6,8,0.031,0.6459999999999999,0.731,0.5475,1,1,935,339,0
9478,Dominic Thiem,1,1,0.067,0.667,0.5,0.2,Thiago Monteiro,6,1,0.053,0.632,0.917,0.714,0,1,550,631,1
9480,Dominic Thiem,6,5,0.0335,0.7010000000000001,0.61,0.378,Thiago Monteiro,3,4,0.0265,0.7090000000000001,0.754,0.6905,1,1,550,631,1
9482,Joao Sousa,0,0,0.062,0.5,0.25,0.125,Hugo Dellien,6,0,0.0,0.667,1.0,0.4,0,1,401,491,1
9484,Laslo Djere,6,3,0.0,0.7,0.857,0.667,Facundo Bagnis,2,1,0.031,0.719,0.522,0.556,1,0,806,595,0
9486,Pedro Martinez,6,1,0.048,0.661,0.683,0.381,Cristian Garin,6,7,0.021,0.617,0.621,0.333,1,0,681,546,0
9488,Hugo Gaston,5,3,0.0,0.524,0.636,0.5,Juan Pablo Varillas,7,2,0.0,0.595,0.636,0.6,0,1,509,643,1
9560,Juan Manuel Cerundolo,5,4,0.047,0.674,0.655,0.286,Cameron Norrie,7,1,0.0,0.697,0.739,0.6,0,1,505,2615,1
9632,Lorenzo Musetti,4,3,0.038,0.654,0.824,0.444,Nicolas Jarry,6,3,0.0,0.565,0.923,0.8,0,1,1855,416,1
9704,Roberto Carballes Baena,6,0,0.044,0.644,0.621,0.688,Francisco Cerundolo,4,0,0.0,0.714,0.64,0.6,1,0,695,1230,1
9776,Roberto Carballes Baena,3,1,0.022,0.5720000000000001,0.5105,0.6439999999999999,Francisco Cerundolo,6,0,0.0,0.736,0.62,0.6125,1,1,695,1230,1
9848,Alexander Zverev,4,1,0.0,0.68,0.647,0.75,Jiri Lehecka,6,1,0.036,0.786,0.818,0.5,0,1,2320,932,0
9850,Alexander Zverev,6,7,0.0,0.754,0.6985,0.675,Jiri Lehecka,3,5,0.068,0.6095,0.7935,0.4855,1,1,2320,932,0
9852,Alexei Popyrin,3,5,0.056,0.639,0.696,0.385,Pavel Kotov,6,1,0.0,0.536,0.8,0.692,0,1,556,419,1
9854,Alexei Popyrin,7,9,0.0835,0.5975,0.698,0.47350000000000003,Pavel Kotov,5,1,0.0145,0.665,0.7150000000000001,0.489,1,1,556,419,1
9856,Filip Krajinovic,5,1,0.024,0.61,0.68,0.375,Andrey Rublev,7,5,0.0,0.486,0.833,0.526,0,1,730,3405,1
9858,Tallon Griekspoor,6,2,0.118,0.5,0.824,0.529,Constant Lestienne,4,4,0.031,0.656,0.619,0.545,1,0,989,821,0
9860,Tallon Griekspoor,3,7,0.08399999999999999,0.55,0.8285,0.5145,Constant Lestienne,6,10,0.0155,0.639,0.7224999999999999,0.451,1,1,989,821,0
9862,Thanasi Kokkinakis,6,5,0.036,0.679,0.789,0.667,Quentin Halys,4,2,0.036,0.571,0.812,0.417,1,0,532,701,0
9864,Alexander Shevchenko,6,2,0.027,0.568,0.714,0.625,Hubert Hurkacz,3,5,0.0,0.7,0.786,0.5,1,0,463,3065,1
9936,Alexander Shevchenko,3,3,0.0325,0.6495,0.7255,0.4555,Hubert Hurkacz,6,12,0.019,0.7344999999999999,0.8180000000000001,0.5835,1,1,463,3065,1
10008,Daniil Medvedev,6,2,0.032,0.71,0.773,0.444,Matteo Arnaldi,4,0,0.051,0.538,0.667,0.5,1,0,3320,497,0
10080,Francesco Passaro,2,0,0.036,0.75,0.619,0.143,Mikael Ymer,6,0,0.0,0.591,0.769,0.667,0,1,501,806,1
10152,Karen Khachanov,5,1,0.027,0.703,0.538,0.727,Botic Van De Zandschulp,7,2,0.097,0.581,0.833,0.538,0,1,2470,1160,1
10224,Maxime Cressy,6,11,0.182,0.591,0.769,0.37,Felix Auger Aliassime,6,7,0.0,0.688,0.758,0.667,0,1,1016,3245,1
10296,Maxime Cressy,6,22,0.1745,0.5954999999999999,0.829,0.435,Felix Auger Aliassime,3,9,0.0225,0.6165,0.754,0.5335000000000001,1,1,1016,3245,1
10368,Novak Djokovic,6,3,0.034,0.517,0.733,0.643,Tomas Machac,3,3,0.043,0.739,0.529,0.333,1,0,6980,435,0
10440,Novak Djokovic,3,7,0.0525,0.6515,0.6845,0.488,Tomas Machac,6,4,0.038,0.6194999999999999,0.6645000000000001,0.4665,1,1,6980,435,0
10512,Alejandro Tabilo,0,0,0.0,0.55,0.273,0.444,Jaume Munar,6,0,0.053,0.263,0.6,0.714,0,1,314,777,1
10514,Alejandro Tabilo,6,1,0.014,0.553,0.5115000000000001,0.5345,Jaume Munar,6,1,0.0265,0.544,0.618,0.714,1,1,314,777,1
10516,Pedro Cachin,4,5,0.0,0.679,0.737,0.556,Juan Manuel Cerundolo,6,2,0.031,0.594,0.842,0.462,0,1,797,515,1
10518,Pedro Cachin,6,9,0.0,0.6965,0.8685,0.6945,Juan Manuel Cerundolo,3,3,0.0655,0.597,0.796,0.5435,1,1,797,515,1
10520,Pedro Martinez,2,1,0.059,0.676,0.565,0.583,Yannick Hanfmann,6,5,0.03,0.667,0.727,0.455,0,1,476,386,1
10522,Camilo Ugo Carabelli,1,0,0.043,0.522,0.75,0.091,Dusan Lajovic,6,0,0.048,0.571,0.75,0.556,0,1,456,693,1
10594,Dominic Thiem,2,1,0.053,0.579,0.636,0.375,Cristian Garin,6,3,0.0,0.7,0.786,0.833,0,1,550,546,1
10666,Fabio Fognini,1,1,0.125,0.625,0.4,0.333,Tomas Martin Etcheverry,6,1,0.095,0.429,0.778,0.583,0,1,643,684,1
10738,Facundo Bagnis,2,1,0.0,0.522,0.583,0.364,Marco Cecchinato,6,3,0.095,0.619,0.769,0.75,0,1,570,592,1
10810,Facundo Bagnis,6,1,0.05,0.536,0.6779999999999999,0.3765,Marco Cecchinato,3,6,0.07250000000000001,0.6345000000000001,0.6535,0.6605,1,1,570,592,1
10882,Laslo Djere,6,3,0.0,0.417,0.8,0.857,Joao Sousa,3,1,0.0,0.594,0.632,0.462,1,0,835,401,0
10954,Nicolas Jarry,6,7,0.0,0.654,0.676,0.444,Juan Pablo Varillas,6,3,0.0,0.611,0.682,0.5,1,0,616,681,0
11026,Denis Shapovalov,6,4,0.135,0.405,0.8,0.455,Miomir Kecmanovic,6,1,0.051,0.513,0.7,0.632,0,1,1335,1290,0
11098,Denis Shapovalov,6,7,0.09,0.498,0.7845,0.4495,Miomir Kecmanovic,0,1,0.092,0.5900000000000001,0.5,0.316,1,1,1335,1290,0
11170,Emilio Gomez,1,0,0.136,0.455,0.5,0.417,Tommy Paul,6,1,0.048,0.667,0.786,0.714,0,1,603,1700,1
11242,Marcos Giron,6,2,0.075,0.55,0.591,0.5,Michael Mmoh,6,1,0.019,0.623,0.576,0.55,0,1,731,624,1
11314,Taylor Fritz,3,1,0.043,0.522,0.917,0.364,John Isner,6,3,0.0,0.542,0.846,0.818,0,1,3660,995,0
11386,Taylor Fritz,6,1,0.0215,0.589,0.8635,0.4095,John Isner,3,5,0.0475,0.628,0.823,0.5755,1,1,3660,995,0
11458,Yoshihito Nishioka,6,1,0.02,0.551,0.593,0.636,Frances Tiafoe,6,5,0.045,0.727,0.719,0.583,0,1,1142,2350,1
