TOURNAMENT INFORMATION,,,,,,,,,,MATCH INFORMATION,,,,,,,,,,,STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,TOURNAMENT ID,TOURNAMENT NAME,TOURNAMENT YEAR,TOURNAMENT START DATE,GENDER,TOURNAMENT SIZE,SURFACE,GROUND,BEST OF,MATCH ID,MATCH DATE,ROUND,MATCH STATUS,PLAYER NUM,PLAYER ID,PLAYER NAME,PLAYER RANK,MONEYLINE US,SET,SET NUMBER,PLAYER WINNER NUM,RESULT,SERVICE GAMES WON,SERVICE GAMES,% OF SERVICE GAMES WON ,RETURN GAMES WON,RETURN GAMES,% OF RETURN GAMES WON ,TOTAL GAMES WON,TOTAL GAMES,% OF TOTAL GAMES WON ,ACES,ACE %,DOUBLE FAULTS,DOUBLE FAULT %,SERVICE POINTS,SERVICE POINTS WON,% OF SERVICE POINTS WON,RETURN POINTS WON,RETURN POINTS,% OF RETURN POINTS WON,TOTAL POINTS WON,TOTAL POINTS,% OF TOTAL POINTS WON,% OF FIRST SERVICES IN,FIRST SERVICE POINTS WON,FIRST SERVICES IN,% OF FIRST SERVICE POINTS WON,SECOND SERVICE POINTS WON,SECOND SERVICES IN,% OF SECOND SERVICE POINTS WON,BREAK POINTS SAVED,BREAK POINTS ALLOWED,% OF BREAK POINTS SAVED,BREAK POINTS WON,BREAK POINTS CREATED,% OF BREAK POINTS WON,FIRST RETURN POINTS WON,FIRST RETURN POINTS,% OF FIRST RETURN POINTS WON,SECOND RETURN POINTS WON,SECOND RETURN POINTS,% OF SECOND RETURN POINTS WON,MAX GAMES WON IN ROW,MAX POINTS WON IN ROW
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-003,12/29/2022,,Finished,1,200434,Lorenzo Musetti,23,,set 2,2,1,WIN,4,5,0.800,2,5,0.400,6,10,0.600,4,0.125,1,0.031,32,19,0.594,14,32,0.438,33,64,0.516,0.500,12,16,0.750,7,16,0.438,1,2,0.500,2,2,1.000,7,20,0.350,7,12,0.583,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-003,12/29/2022,,Finished,2,200432,Felipe Meligeni Alves,166,,set 2,2,1,LOSE,3,5,0.600,1,5,0.200,4,10,0.400,1,0.031,2,0.062,32,18,0.562,13,32,0.406,31,64,0.484,0.625,13,20,0.650,5,12,0.417,0,2,0.000,1,2,0.500,4,16,0.250,9,16,0.562,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-004,12/29/2022,,Finished,1,200359,Marc-Andrea Huesler,56,,set 1,1,2,LOSE,4,5,0.800,0,5,0.000,4,10,0.400,2,0.065,1,0.032,31,19,0.613,13,37,0.351,32,68,0.471,0.484,12,15,0.800,7,16,0.438,0,1,0.000,0,3,0.000,9,29,0.310,4,8,0.500,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-004,12/29/2022,,Finished,2,200475,Timofey Skatov,142,,set 1,1,2,WIN,5,5,1.000,1,5,0.200,6,10,0.600,1,0.027,0,0.000,37,24,0.649,12,31,0.387,36,68,0.529,0.784,20,29,0.690,4,8,0.500,3,3,1.000,1,1,1.000,3,15,0.200,9,16,0.562,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-004,12/29/2022,,Finished,1,200359,Marc-Andrea Huesler,56,,set 2,2,1,WIN,5,5,1.000,1,4,0.250,6,9,0.667,3,0.107,0,0.000,28,21,0.750,10,24,0.417,31,52,0.596,0.893,19,25,0.760,2,3,0.667,1,1,1.000,1,1,1.000,5,17,0.294,5,7,0.714,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-004,12/29/2022,,Finished,2,200475,Timofey Skatov,142,,set 2,2,1,LOSE,3,4,0.750,0,5,0.000,3,9,0.333,1,0.042,0,0.000,24,14,0.583,7,28,0.250,21,52,0.404,0.708,12,17,0.706,2,7,0.286,0,1,0.000,0,1,0.000,6,25,0.240,1,3,0.333,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-004,12/29/2022,,Finished,1,200359,Marc-Andrea Huesler,56,,set 3,3,1,WIN,4,4,1.000,2,5,0.400,6,9,0.667,1,0.025,0,0.000,40,24,0.600,11,27,0.407,35,67,0.522,0.675,17,27,0.630,7,13,0.538,5,5,1.000,2,3,0.667,6,15,0.400,5,12,0.417,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-004,12/29/2022,,Finished,2,200475,Timofey Skatov,142,,set 3,3,1,LOSE,3,5,0.600,0,4,0.000,3,9,0.333,2,0.074,2,0.074,27,16,0.593,16,40,0.400,32,67,0.478,0.556,9,15,0.600,7,12,0.583,1,3,0.333,0,5,0.000,10,27,0.370,6,13,0.462,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-005,12/29/2022,,Finished,1,200185,Stefanos Tsitsipas,4,,set 1,1,2,LOSE,4,5,0.800,0,5,0.000,4,10,0.400,4,0.138,1,0.034,29,19,0.655,8,30,0.267,27,59,0.458,0.621,13,18,0.722,6,11,0.545,3,4,0.750,0,1,0.000,2,18,0.111,6,12,0.500,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-005,12/29/2022,,Finished,2,200024,Grigor Dimitrov,28,,set 1,1,2,WIN,5,5,1.000,1,5,0.200,6,10,0.600,4,0.133,2,0.067,30,22,0.733,10,29,0.345,32,59,0.542,0.600,16,18,0.889,6,12,0.500,1,1,1.000,1,4,0.250,5,18,0.278,5,11,0.455,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-005,12/29/2022,,Finished,1,200185,Stefanos Tsitsipas,4,,set 2,2,1,WIN,4,4,1.000,2,4,0.500,6,8,0.750,2,0.091,0,0.000,22,17,0.773,9,21,0.429,26,43,0.605,0.727,13,16,0.812,4,6,0.667,2,2,1.000,2,5,0.400,6,14,0.429,3,7,0.429,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-005,12/29/2022,,Finished,2,200024,Grigor Dimitrov,28,,set 2,2,1,LOSE,2,4,0.500,0,4,0.000,2,8,0.250,3,0.143,0,0.000,21,12,0.571,5,22,0.227,17,43,0.395,0.667,8,14,0.571,4,7,0.571,3,5,0.600,0,2,0.000,3,16,0.188,2,6,0.333,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-005,12/29/2022,,Finished,1,200185,Stefanos Tsitsipas,4,,set 3,3,1,WIN,6,6,1.000,0,6,0.000,6,12,0.500,6,0.136,0,0.000,44,32,0.727,7,36,0.194,39,80,0.488,0.864,30,38,0.789,2,6,0.333,3,3,1.000,0,2,0.000,3,23,0.130,4,13,0.308,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-005,12/29/2022,,Finished,2,200024,Grigor Dimitrov,28,,set 3,3,1,LOSE,6,6,1.000,0,6,0.000,6,12,0.500,4,0.111,0,0.000,36,29,0.806,12,44,0.273,41,80,0.512,0.639,20,23,0.870,9,13,0.692,2,2,1.000,0,3,0.000,8,38,0.211,4,6,0.667,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-006,12/29/2022,,Finished,1,200145,Taylor Fritz,9,,set 1,1,1,WIN,5,5,1.000,1,4,0.250,6,9,0.667,1,0.034,0,0.000,29,21,0.724,5,17,0.294,26,46,0.565,0.552,12,16,0.750,9,13,0.692,0,0,0.000,1,1,1.000,1,11,0.091,4,6,0.667,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-006,12/29/2022,,Finished,2,200733,Jiri Lehecka,81,,set 1,1,1,LOSE,3,4,0.750,0,5,0.000,3,9,0.333,2,0.118,0,0.000,17,12,0.706,8,29,0.276,20,46,0.435,0.647,10,11,0.909,2,6,0.333,0,1,0.000,0,0,0.000,4,16,0.250,4,13,0.308,,
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-006,12/29/2022,,Finished,1,200145,Taylor Fritz,9,,set 2,2,1,WIN,5,5,1.000,1,5,0.200,6,10,0.600,4,0.103,3,0.077,39,25,0.641,11,31,0.355,36,70,0.514,0.641,20,25,0.800,5,14,0.357,2,2,1.000,1,2,0.500,6,20,0.300,5,11,0.455,,
