TOURNAMENT INFORMATION,,,,,,,,,,MATCH INFORMATION,,,,,,,,,,,STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATASET,TOURNAMENT ID,TOURNAMENT NAME,TOURNAMENT YEAR,TOURNAMENT START DATE,GENDER,TOURNAMENT SIZE,SURFACE,GROUND,BEST OF,MATCH ID,MATCH DATE,ROUND,MATCH STATUS,PLAYER NUM,PLAYER ID,PLAYER NAME,PLAYER RANK,MONEYLINE US,SET,SET NUMBER,PLAYER WINNER NUM,RESULT,SERVICE GAMES WON,SERVICE GAMES,% OF SERVICE GAMES WON ,RETURN GAMES WON,RETURN GAMES,% OF RETURN GAMES WON ,TOTAL GAMES WON,TOTAL GAMES,% OF TOTAL GAMES WON ,ACES,ACE %,DOUBLE FAULTS,DOUBLE FAULT %,SERVICE POINTS,SERVICE POINTS WON,% OF SERVICE POINTS WON,RETURN POINTS WON,RETURN POINTS,% OF RETURN POINTS WON,TOTAL POINTS WON,TOTAL POINTS,% OF TOTAL POINTS WON,% OF FIRST SERVICES IN,FIRST SERVICE POINTS WON,FIRST SERVICES IN,% OF FIRST SERVICE POINTS WON,SECOND SERVICE POINTS WON,SECOND SERVICES IN,% OF SECOND SERVICE POINTS WON,BREAK POINTS SAVED,BREAK POINTS ALLOWED,% OF BREAK POINTS SAVED,BREAK POINTS WON,BREAK POINTS CREATED,% OF BREAK POINTS WON,FIRST RETURN POINTS WON,FIRST RETURN POINTS,% OF FIRST RETURN POINTS WON,SECOND RETURN POINTS WON,SECOND RETURN POINTS,% OF SECOND RETURN POINTS WON,MAX GAMES WON IN ROW,MAX POINTS WON IN ROW
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-006,12/29/2022,,Finished,1,200145,Taylor Fritz,9,-698,match,0,1,WIN,10,10,1,2,9,0.222,12,19,0.632,5,0.074,3,0.044,68,46,0.676,16,48,0.333,62,116,0.534,0.603,32,41,0.78,14,27,0.519,2,2,1,2,3,0.667,7,31,0.226,9,17,0.529,3,8
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-006,12/29/2022,,Finished,2,200733,Jiri Lehecka,81,431,match,0,1,LOSE,7,9,0.778,0,10,0,7,19,0.368,4,0.083,1,0.021,48,32,0.667,22,68,0.324,54,116,0.466,0.646,24,31,0.774,8,17,0.471,1,3,0.333,0,2,0,9,41,0.22,13,27,0.481,1,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-007,12/30/2022,,Finished,1,200107,Adrian Mannarino,46,-469,match,0,1,WIN,6,7,0.857,6,6,1,12,13,0.923,6,0.136,0,0,44,30,0.682,35,56,0.625,65,100,0.65,0.682,23,30,0.767,7,14,0.5,2,3,0.667,6,10,0.6,21,37,0.568,14,19,0.737,8,11
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-007,12/30/2022,,Finished,2,200343,Federico Coria,75,320,match,0,1,LOSE,0,6,0,1,7,0.143,1,13,0.077,2,0.036,2,0.036,56,21,0.375,14,44,0.318,35,100,0.35,0.661,16,37,0.432,5,19,0.263,4,10,0.4,1,3,0.333,7,30,0.233,7,14,0.5,1,3
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-008,12/30/2022,,Finished,1,200007,Alexander Zverev,12,-741,match,0,2,LOSE,5,9,0.556,1,9,0.111,6,18,0.333,1,0.018,8,0.143,56,30,0.536,23,67,0.343,53,123,0.431,0.607,22,34,0.647,8,22,0.364,4,8,0.5,1,7,0.143,11,47,0.234,12,20,0.6,1,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-008,12/30/2022,,Finished,2,200733,Jiri Lehecka,81,452,match,0,2,WIN,8,9,0.889,4,9,0.444,12,18,0.667,5,0.075,3,0.045,67,44,0.657,26,56,0.464,70,123,0.569,0.701,36,47,0.766,8,20,0.4,6,7,0.857,4,8,0.5,12,34,0.353,14,22,0.636,3,8
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-009,12/30/2022,,Retired,1,200137,Frances Tiafoe,19,-333,match,0,1,WIN,6,8,0.75,2,7,0.286,8,15,0.533,4,0.073,1,0.018,55,34,0.618,26,59,0.441,60,114,0.526,0.655,24,36,0.667,10,19,0.526,2,4,0.5,2,6,0.333,10,37,0.27,16,22,0.727,3,6
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-009,12/30/2022,,Retired,2,200466,Tomas Machac,97,245,match,0,1,LOSE,5,7,0.714,2,8,0.25,7,15,0.467,6,0.102,5,0.085,59,33,0.559,21,55,0.382,54,114,0.474,0.627,27,37,0.73,6,22,0.273,4,6,0.667,2,4,0.5,12,36,0.333,9,19,0.474,3,5
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-010,12/30/2022,,Finished,1,200315,Jason Kubler,107,254,match,0,1,WIN,9,11,0.818,3,10,0.3,12,21,0.571,11,0.164,1,0.015,67,45,0.672,25,64,0.391,70,131,0.534,0.627,30,42,0.714,15,25,0.6,2,4,0.5,3,4,0.75,10,36,0.278,15,28,0.536,5,7
Tennis Stats 2023 ATP Season,2023-205,United Cup,2023,12/29/2022,m,39,Hard,Outdoor,3,2023-205-010,12/30/2022,,Finished,2,200013,Daniel Evans,27,-353,match,0,1,LOSE,7,10,0.7,2,11,0.182,9,21,0.429,3,0.047,2,0.031,64,39,0.609,22,67,0.328,61,131,0.466,0.562,26,36,0.722,13,28,0.464,1,4,0.25,2,4,0.5,12,42,0.286,10,25,0.4,5,7
